Tiempo (s),PWM (con signo),Posición (grados),Velocidad (grados/s),Vel_Estimada (grados/s)
65.51,500,683,300.0,0.0
65.52,500,686,300.0,0.0
65.53,500,689,300.0,0.0
65.54,500,692,300.0,0.0
65.55,500,695,300.0,0.0
65.56,500,697,200.0,0.0
65.57,500,700,300.0,0.0
65.58,500,703,300.0,0.0
65.59,500,706,300.0,0.0
65.6,500,709,300.0,0.0
65.61,500,712,300.0,0.0
65.62,500,715,300.0,0.0
65.63,500,718,300.0,0.0
65.64,500,721,300.0,0.0
65.65,500,724,300.0,0.0
65.66,500,727,300.0,0.0
65.67,500,730,300.0,0.0
65.68,500,733,300.0,0.0
65.69,500,735,200.0,0.0
65.7,500,738,300.0,0.0
65.71,500,741,300.0,0.0
65.72,500,744,300.0,0.0
65.73,500,747,300.0,0.0
65.74,500,750,300.0,0.0
65.75,500,753,300.0,0.0
65.76,500,756,300.0,0.0
65.77,500,759,300.0,0.0
65.78,500,762,300.0,0.0
65.79,500,765,300.0,0.0
65.8,500,768,300.0,0.0
65.81,500,770,200.0,0.0
65.82,500,773,300.0,0.0
65.83,500,776,300.0,0.0
65.84,500,779,300.0,0.0
65.85,500,782,300.0,0.0
65.86,500,785,300.0,0.0
65.87,500,788,300.0,0.0
65.88,500,791,300.0,0.0
65.89,500,794,300.0,0.0
65.9,500,797,300.0,0.0
65.91,500,800,300.0,0.0
65.92,500,803,300.0,0.0
65.93,500,805,200.0,0.0
65.94,500,808,300.0,0.0
65.95,500,811,300.0,0.0
65.96,500,814,300.0,0.0
65.97,500,817,300.0,0.0
65.98,500,820,300.0,0.0
65.99,500,823,300.0,0.0
66.0,500,826,300.0,0.0
66.01,500,829,300.0,0.0
66.02,500,832,300.0,0.0
66.03,500,835,300.0,0.0
66.04,500,838,300.0,0.0
66.05,500,841,300.0,0.0
66.06,500,844,300.0,0.0
66.07,500,846,200.0,0.0
66.08,500,849,300.0,0.0
66.09,500,852,300.0,0.0
66.1,500,855,300.0,0.0
66.11,500,858,300.0,0.0
66.12,500,861,300.0,0.0
66.13,500,864,300.0,0.0
66.14,500,867,300.0,0.0
66.15,500,870,300.0,0.0
66.16,500,873,300.0,0.0
66.17,500,876,300.0,0.0
66.18,500,879,300.0,0.0
66.19,500,882,300.0,0.0
66.2,500,884,200.0,0.0
66.21,500,887,300.0,0.0
66.22,500,890,300.0,0.0
66.23,500,893,300.0,0.0
66.24,500,896,300.0,0.0
66.25,500,899,300.0,0.0
66.26,500,902,300.0,0.0
66.27,500,905,300.0,0.0
66.28,500,908,300.0,0.0
66.29,500,911,300.0,0.0
66.3,500,914,300.0,0.0
66.31,500,917,300.0,0.0
66.32,500,919,200.0,0.0
66.33,500,922,300.0,0.0
66.34,500,925,300.0,0.0
66.35,500,928,300.0,0.0
66.36,500,931,300.0,0.0
66.37,500,934,300.0,0.0
66.38,500,937,300.0,0.0
66.39,500,940,300.0,0.0
66.4,500,943,300.0,0.0
66.41,500,946,300.0,0.0
66.42,500,949,300.0,0.0
66.43,500,952,300.0,0.0
66.44,500,955,300.0,0.0
66.45,500,957,200.0,0.0
66.46,500,960,300.0,0.0
66.47,500,963,300.0,0.0
66.48,500,966,300.0,0.0
66.49,500,969,300.0,0.0
66.5,500,972,300.0,0.0
66.51,500,975,300.0,0.0
66.52,500,978,300.0,0.0
66.53,500,981,300.0,0.0
66.54,500,984,300.0,0.0
66.55,500,987,300.0,0.0
66.56,500,990,300.0,0.0
66.57,500,993,300.0,0.0
66.58,500,995,200.0,0.0
66.59,500,998,300.0,0.0
66.6,500,1001,300.0,0.0
66.61,500,1004,300.0,0.0
66.62,500,1007,300.0,0.0
66.63,500,1010,300.0,0.0
66.64,500,1013,300.0,0.0
66.65,500,1016,300.0,0.0
66.66,500,1019,300.0,0.0
66.67,500,1022,300.0,0.0
66.68,500,1025,300.0,0.0
66.69,500,1028,300.0,0.0
66.7,500,1030,200.0,0.0
66.71,500,1033,300.0,0.0
66.72,500,1036,300.0,0.0
66.73,500,1039,300.0,0.0
66.74,500,1042,300.0,0.0
66.75,500,1045,300.0,0.0
66.76,500,1048,300.0,0.0
66.77,500,1051,300.0,0.0
66.78,500,1054,300.0,0.0
66.79,500,1057,300.0,0.0
66.8,500,1060,300.0,0.0
66.81,500,1063,300.0,0.0
66.82,500,1066,300.0,0.0
66.83,500,1069,300.0,0.0
66.84,500,1071,200.0,0.0
66.85,500,1074,300.0,0.0
66.86,500,1077,300.0,0.0
66.87,500,1080,300.0,0.0
66.88,500,1083,300.0,0.0
66.89,500,1086,300.0,0.0
66.9,500,1089,300.0,0.0
66.91,500,1092,300.0,0.0
66.92,500,1095,300.0,0.0
66.93,500,1098,300.0,0.0
66.94,500,1101,300.0,0.0
66.95,500,1104,300.0,0.0
66.96,500,1106,200.0,0.0
66.97,500,1109,300.0,0.0
66.98,500,1112,300.0,0.0
66.99,500,1115,300.0,0.0
67.0,500,1118,300.0,0.0
67.01,500,1121,300.0,0.0
67.02,500,1124,300.0,0.0
67.03,500,1127,300.0,0.0
67.04,500,1130,300.0,0.0
67.05,500,1133,300.0,0.0
67.06,500,1136,300.0,0.0
67.07,500,1139,300.0,0.0
67.08,500,1142,300.0,0.0
67.09,500,1144,200.0,0.0
67.1,500,1147,300.0,0.0
67.11,500,1150,300.0,0.0
67.12,500,1153,300.0,0.0
67.13,500,1156,300.0,0.0
67.14,500,1159,300.0,0.0
67.15,500,1162,300.0,0.0
67.16,500,1165,300.0,0.0
67.17,500,1168,300.0,0.0
67.18,500,1171,300.0,0.0
67.19,500,1174,300.0,0.0
67.2,500,1177,300.0,0.0
67.21,500,1180,300.0,0.0
67.22,500,1183,300.0,0.0
67.23,500,1185,200.0,0.0
67.24,500,1188,300.0,0.0
67.25,500,1191,300.0,0.0
67.26,500,1194,300.0,0.0
67.27,500,1197,300.0,0.0
67.28,500,1200,300.0,0.0
67.29,500,1203,300.0,0.0
67.3,500,1206,300.0,0.0
67.31,500,1209,300.0,0.0
67.32,500,1212,300.0,0.0
67.33,500,1215,300.0,0.0
67.34,500,1218,300.0,0.0
67.35,500,1220,200.0,0.0
67.36,500,1223,300.0,0.0
67.37,500,1226,300.0,0.0
67.38,500,1229,300.0,0.0
67.39,500,1232,300.0,0.0
67.4,500,1235,300.0,0.0
67.41,500,1238,300.0,0.0
67.42,500,1241,300.0,0.0
67.43,500,1244,300.0,0.0
67.44,500,1247,300.0,0.0
67.45,500,1250,300.0,0.0
67.46,500,1253,300.0,0.0
67.47,500,1256,300.0,0.0
67.48,500,1258,200.0,0.0
67.49,500,1261,300.0,0.0
67.5,500,1264,300.0,0.0
67.51,500,1267,300.0,0.0
67.52,500,1270,300.0,0.0
67.53,500,1273,300.0,0.0
67.54,500,1276,300.0,0.0
67.55,500,1279,300.0,0.0
67.56,500,1282,300.0,0.0
67.57,500,1285,300.0,0.0
67.58,500,1288,300.0,0.0
67.59,500,1291,300.0,0.0
67.6,500,1294,300.0,0.0
67.61,500,1297,300.0,0.0
67.62,500,1299,200.0,0.0
67.63,500,1302,300.0,0.0
67.64,500,1305,300.0,0.0
67.65,500,1308,300.0,0.0
67.66,500,1311,300.0,0.0
67.67,500,1314,300.0,0.0
67.68,500,1317,300.0,0.0
67.69,500,1320,300.0,0.0
67.7,500,1323,300.0,0.0
67.71,500,1326,300.0,0.0
67.72,500,1329,300.0,0.0
67.73,500,1332,300.0,0.0
67.74,500,1334,200.0,0.0
67.75,500,1337,300.0,0.0
67.76,500,1340,300.0,0.0
67.77,500,1343,300.0,0.0
67.78,500,1346,300.0,0.0
